Organization,Link,Date Scraped,Type
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-04-30-media-advisory-suncor-energy-q1-earnings-and-agm-en.pdf?modified=20240613191937&created=20240430205934,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-04-29-media-advisory-suncor-energy-to-hold-business-update-webcast-en.pdf?modified=20240613191937&created=20240429205600,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-26-news-release-petro-canada-x-triangle-rewards-loyalty-partnership-en.pdf?modified=20240613191937&created=20240326115506,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-21-news-release-su-annual-report-2023-en.pdf?modified=20240613191936&created=20240321155927,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-03-07-nr-fort-mckay-first-nation-and-su-to-partner-on-prospective-os-dev-opportunity-en.pdf?modified=20240613191936&created=20240307180528,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-21-news-release-earnings-q4-2023-en.pdf?modified=20240613191935&created=20240221151728,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-21-news-release-suncor-energy-announces-upcoming-changes-to-its-bod-en.pdf?modified=20240613191935&created=20240221221256,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-21-news-release-q4-dividend-en.pdf?modified=20240613191935&created=20240221215704,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-02-15-news-release-suncor-energy-to-release-fourth-quarter-2023-financial-results-en.pdf?modified=20240613191934&created=20240215212525,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2024/2024-01-03-news-release-update-on-2023-performance-en.pdf?modified=20240613191934&created=20240103114158,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-12-07-news-release-suncor-energy-announces-kent-ferguson-new-svp-en.pdf?modified=20240613191934&created=20231207205226,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-12-05-news-release-suncor-energy--announces--2024-corporate-guidance-en.pdf?modified=20240613191933&created=20231205220907,10/27/2025,pdf
Suncor Energy,https://www.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-27-news-release-suncor-energy-announces-restart-production-terra-nova-en.pdf?modified=20240613191933&created=20231127114047,10/27/2025,pdf
