Organization,Link,Date Scraped,Type
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-06-06-news-release-suncor-energy-announces-dave-oldreive-as-new-evp-downstream-en.pdf?modified=20230606210125,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-26-news-release-suncor-energy-provides-update-on-acquisition-of-totalenergies-can-ops-en.pdf?modified=20230526181835,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-09-news-release-suncor-energy-reports-voting-results-from-agm-en.pdf?modified=20230509220146,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-08-news-release-earnings-q1-2023-en.pdf?modified=20230508234213,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-08-news-release-q1-dividend-en.pdf?modified=20230508223207,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-03-news-release-petro-canada-and-canadian-tire-partnership-en.pdf?modified=20230503220218,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-01-ma-su-to-release-q1-results-and-host-agm-en.pdf?modified=20230501212306,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-04-26-news-release-suncor-energy-to-acquire-totalenergies-canadian-ops-en.pdf?modified=20230427060458,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-24-news-release-su-announces-daniel-romasko-to-join-bod-en.pdf?modified=20230324105329,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-17-news-release-suncor-energy-amends-agreement-with-elliot-investment-mgmt-en.pdf?modified=20230317105140,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-06-news-release-su-annual-report-2022-en.pdf?modified=20230306223149,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-03-02-news-release-suncor-energy-announces-sale-of-uk-ep-business-en.pdf?modified=20230303023907,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-21-nr-president-and-ceo-announcment-en.pdf?modified=20230221115647,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-14-news-release-earnings-q4-2022-en.pdf?modified=20230317131412,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-14-news-release-q4-2022-dividend-en.pdf?modified=20230317131602,10/27/2025,pdf
Suncor Energy,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-02-07-ma-su-to-release-q4-results-en.pdf?modified=20230207223301,10/27/2025,pdf
