Wayback Link,Link
http://web.archive.org/web/20231202191402/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-20-news-release-suncor-energy-closes-purchase-of-totalenergies-canadian-ops-en.pdf?modified=20231120213217,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-20-news-release-suncor-energy-closes-purchase-of-totalenergies-canadian-ops-en.pdf?modified=20231120213217
http://web.archive.org/web/20240214012328/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-14-news-release-suncor-increases-quarterly-dividend-en.pdf?modified=20240202203425,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-14-news-release-suncor-increases-quarterly-dividend-en.pdf?modified=20240202203425
http://web.archive.org/web/20231202182116/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-09-news-release-su-bond-issuance-en.pdf?modified=20231109232934,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-09-news-release-su-bond-issuance-en.pdf?modified=20231109232934
http://web.archive.org/web/20240216062337/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-08-news-release-earnings-q3-2023-en.pdf?modified=20240202203648,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-11-08-news-release-earnings-q3-2023-en.pdf?modified=20240202203648
http://web.archive.org/web/20231202184940/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-10-31-news-release-suncor-energy-to-release-third-quarter-2023-financial-results-en.pdf?modified=20231031213133,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-10-31-news-release-suncor-energy-to-release-third-quarter-2023-financial-results-en.pdf?modified=20231031213133
http://web.archive.org/web/20231015012256/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-10-04-news-release-su-total-fort-hills-en.pdf?modified=20231004200405,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-10-04-news-release-su-total-fort-hills-en.pdf?modified=20231004200405
http://web.archive.org/web/20230925202329/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-09-05-news-release-suncor-energy-announces-changes-to-bod-en.pdf?modified=20230905105051,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-09-05-news-release-suncor-energy-announces-changes-to-bod-en.pdf?modified=20230905105051
http://web.archive.org/web/20230925204431/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-earnings-q2-2023-en.pdf?modified=20230907164333,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-earnings-q2-2023-en.pdf?modified=20230907164333
http://web.archive.org/web/20230925194928/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-q2-dividend-en.pdf?modified=20230907164402,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-q2-dividend-en.pdf?modified=20230907164402
http://web.archive.org/web/20230925202209/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-su-announces-executive-leadership-team-changes-en.pdf?modified=20230907164434,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-08-14-news-release-su-announces-executive-leadership-team-changes-en.pdf?modified=20230907164434
http://web.archive.org/web/20230810052527/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-25-news-release-suncor-energy-to-release-second-quarter-2023-financial-results-en.pdf?modified=20230725213250,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-25-news-release-suncor-energy-to-release-second-quarter-2023-financial-results-en.pdf?modified=20230725213250
http://web.archive.org/web/20230810052510/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-18-news-release-suncor-energy-releases-2023-ros-and-cr-en.pdf?modified=20230718224601,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-18-news-release-suncor-energy-releases-2023-ros-and-cr-en.pdf?modified=20230718224601
http://web.archive.org/web/20230810052454/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-06-nr-su-update-cybersecurity-incident-en.pdf?modified=20230706225550,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-07-06-nr-su-update-cybersecurity-incident-en.pdf?modified=20230706225550
http://web.archive.org/web/20230626225809/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-06-25-suncor-responds-to-cyber-security-incident-en.pdf?modified=20230626135129,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-06-25-suncor-responds-to-cyber-security-incident-en.pdf?modified=20230626135129
http://web.archive.org/web/20230702030454/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-06-06-news-release-suncor-energy-announces-dave-oldreive-as-new-evp-downstream-en.pdf?modified=20230606210125,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-06-06-news-release-suncor-energy-announces-dave-oldreive-as-new-evp-downstream-en.pdf?modified=20230606210125
http://web.archive.org/web/20230526182919/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-26-news-release-suncor-energy-provides-update-on-acquisition-of-totalenergies-can-ops-en.pdf?modified=20230526181835,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-26-news-release-suncor-energy-provides-update-on-acquisition-of-totalenergies-can-ops-en.pdf?modified=20230526181835
http://web.archive.org/web/20230601160034/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-09-news-release-suncor-energy-reports-voting-results-from-agm-en.pdf?modified=20230509220146,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-09-news-release-suncor-energy-reports-voting-results-from-agm-en.pdf?modified=20230509220146
http://web.archive.org/web/20230509180102/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-08-news-release-earnings-q1-2023-en.pdf?modified=20230508234213,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-08-news-release-earnings-q1-2023-en.pdf?modified=20230508234213
http://web.archive.org/web/20230601152947/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-08-news-release-q1-dividend-en.pdf?modified=20230508223207,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-08-news-release-q1-dividend-en.pdf?modified=20230508223207
http://web.archive.org/web/20230601150404/https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-03-news-release-petro-canada-and-canadian-tire-partnership-en.pdf?modified=20230503220218,https://sustainability-prd-cdn.suncor.com/-/media/project/suncor/files/news-releases/2023/2023-05-03-news-release-petro-canada-and-canadian-tire-partnership-en.pdf?modified=20230503220218
